period,resource,kind,capacity,full_demand_load,headroom_xi,critical
11,source,source,252091.048109,240086.71248522666,1.0499999999979674,False
12,source,source,583596.934283,555806.604078837,1.050000000000398,False
13,source,source,684383.597519,651793.9023988054,1.0500000000003902,False
14,source,source,712380.701787,678457.8112252654,1.0500000000006946,False
15,source,source,748483.217464,712841.1594891507,1.0500000000005496,False
16,source,source,767872.891953,731307.5161458316,1.0499999999998315,False
17,source,source,908301.880912,865049.4103920248,1.0500000000004324,False
18,source,source,883834.313779,1039805.0750341734,0.8499999999999543,True
19,source,source,991907.52325,1166950.0273528458,0.8500000000000696,True
20,source,source,872138.917188,1026045.7849268068,0.8500000000002088,True
21,source,source,694615.650741,817194.8832246873,0.8500000000000193,True
22,source,source,1093087.586168,1285985.3954915367,0.8500000000001506,True
23,source,source,1012781.81834,1191508.0215769606,0.8499999999996504,True
24,source,source,906606.202055,1066595.5318295355,0.8499999999999013,True
25,source,source,90680.435623,100756.03958135142,0.8999999999978535,True
26,source,source,52518.253762,58353.615291004615,0.9000000000016425,True
11,K1,edge,6048000.0,240086.71248522666,25.1908984774497,False
11,K3,edge,2592000.0,13248.529411764706,195.64435564435564,False
11,K2,edge,6048000.0,214833.8474492006,28.15198848696365,False
11,K5,edge,86932.180615,12992.64706235294,6.690875246422399,False
11,K6,edge,3930.882353,4367.64705882353,0.900000000013468,True
11,K4,edge,6048000.0,186731.8609555641,32.388688084885636,False
11,K8,edge,46140.063039,7203.4313741176475,6.405289457574894,False
11,K7,edge,6048000.0,170191.83653366825,35.53636956496179,False
11,K11,edge,87551.520426,20580.88235882353,4.254021712944903,False
11,K9,edge,6048000.0,141101.36234816132,42.86280372741427,False
11,K12,edge,42906.161145,8907.35294117647,4.816937358197127,False
11,K10,edge,6048000.0,123727.92766609516,48.88144587955721,False
11,K14,edge,1728000.0,1000.0000023529411,1727.9999959341176,False
11,K13,edge,6048000.0,116541.53128043746,51.89566271826747,False
11,K16,edge,1728000.0,14990.625,115.27204502814259,False
11,K15,edge,6048000.0,89896.75315239372,67.27717951890187,False
11,K19,edge,1728000.0,4845.8333425,356.59501222312207,False
11,K20,edge,1728000.0,2339.0625,738.7575150300602,False
11,K21,edge,1728000.0,7063.235294117647,244.6470955652717,False
11,K22,edge,1728000.0,4715.625,366.441351888668,False
11,K23,edge,1728000.0,6617.64705882353,261.12,False
11,K17,edge,6048000.0,59820.512299332855,101.10244408701679,False
11,K25,edge,1728000.0,3203.508777894737,539.4085422595898,False
11,K24,edge,6048000.0,51831.36253749149,116.68610863982717,False
