edge,f1,f2,f3
e4,-0.0,-0.0,1.1111111111111112
e3,-0.0,1.333333333333333,-1.2335811384723962e-16
e2,-0.0,1.568627450980392,1.30718954248366
e1,1.25,0.0,0.0
e0,1.3888888888888888,1.7429193899782132,1.4524328249818443
