edge,tail,head
K1,Of1,Of2
K3,Of2,T1
K2,Of2,Of3
K5,Of3,T2
K6,Of3,T3
K4,Of3,Of4
K8,Of4,T4
K7,Of4,Of5
K11,Of5,T5
K9,Of5,Of6
K12,Of6,T6
K10,Of6,Of7
K14,Of7,T7
K13,Of7,Of8
K16,Of8,T8
K15,Of8,Of9
K18,Of9,T9
K19,Of9,T10
K20,Of9,T11
K21,Of9,T12
K22,Of9,T13
K23,Of9,T14
K17,Of9,Of10
K25,Of10,T15
K24,Of10,Of11
K26,Of11,Of12
K27,Of12,Of13
K28,Of13,Of14
K29,Of14,Of15
K30,Of15,Tail1
K31,Of11,T16
K32,Of12,T17
K33,Of13,T18
K34,Of14,T19
K35,Of15,T20
