w1,w2,lambda_star,stage2_weighted_satisfaction,X1_stage3,X2_stage3,omega_stage2,omega_stage3
1,8,0.6,0.8070175438596491,12.0,10.0,0.5499999999999999,0.5499999999999999
1,4,0.6,0.7878787878787878,12.0,10.0,0.5499999999999999,0.5499999999999999
1,2,0.6,0.7619047619047619,12.0,10.0,0.5499999999999999,0.5499999999999999
1,1,0.6,0.7333333333333333,12.8,9.2,0.75,0.40000000000000113
2,1,0.6,0.7416666666666667,13.600000000000001,8.399999999999999,0.8500000000000001,0.8500000000000014
4,1,0.6,0.7476190476190476,13.600000000000001,8.399999999999999,0.8500000000000001,0.850000000000001
8,1,0.6,0.7512820512820513,13.600000000000001,8.400000000000015,0.8500000000000001,0.8500000000000036
