benchmark,optimized,omega_ratio,omega_demand_weighted,omega_volume,omega_max_jump,minimum_ratio,weighted_satisfaction_minus_stage2
gone_abat_jap,stage2_vertex,5.535052961830227,5.637194830908842,1548247.5586666549,0.15000000000034963,,
gone_abat_jap,ratio,5.417942221248455,5.598296537778689,1548165.6154253613,0.1500000000176398,0.8499999999996504,4.440892098500626e-16
gone_abat_jap,demand_weighted,5.474670506642839,5.585766585445745,1548309.7655519105,0.150000000026838,0.8499999999996504,5.551115123125783e-16
gone_abat_jap,volume,5.417942221218167,5.598296537756421,1548165.6154253632,0.15000000000034963,0.8499999999994355,4.440892098500626e-16
gone_abat_jap,max_jump,5.456365728640733,5.585766585444569,1548309.765551888,0.15000000000034963,0.8499999999996504,3.3306690738754696e-16
temporal_lexicographic,stage2_vertex,0.75,0.75,20.4,0.25,,
temporal_lexicographic,ratio,0.40000000000000113,0.40000000000000113,17.999999999999996,0.20000000000000073,0.6,0.0
temporal_lexicographic,demand_weighted,0.40000000000000113,0.40000000000000113,17.999999999999996,0.20000000000000073,0.6,0.0
temporal_lexicographic,volume,1.0499999999999998,1.0499999999999998,15.599999999999998,0.4,0.6,0.0
temporal_lexicographic,max_jump,0.6499999999999999,0.6499999999999999,18.799999999999997,0.20000000000000007,0.6,0.0
