period,edge,full_demand_load,capacity,ratio
11,K1,240086.71248522666,6048000.0,25.1908984774497
11,K3,13248.529411764706,2592000.0,195.64435564435564
11,K2,214833.8474492006,6048000.0,28.15198848696365
11,K5,12992.64706235294,86932.180615,6.690875246422399
11,K6,4367.64705882353,3930.882353,0.900000000013468
11,K4,186731.8609555641,6048000.0,32.388688084885636
11,K8,7203.4313741176475,46140.063039,6.405289457574894
11,K7,170191.83653366825,6048000.0,35.53636956496179
11,K11,20580.88235882353,87551.520426,4.254021712944903
11,K9,141101.36234816132,6048000.0,42.86280372741427
11,K12,8907.35294117647,42906.161145,4.816937358197127
11,K10,123727.92766609516,6048000.0,48.88144587955721
11,K14,1000.0000023529411,1728000.0,1727.9999959341176
11,K13,116541.53128043746,6048000.0,51.89566271826747
11,K16,14990.625,1728000.0,115.27204502814259
11,K15,89896.75315239372,6048000.0,67.27717951890187
11,K18,0.0,1728000.0,
11,K19,4845.8333425,1728000.0,356.59501222312207
11,K20,2339.0625,1728000.0,738.7575150300602
11,K21,7063.235294117647,1728000.0,244.6470955652717
11,K22,4715.625,1728000.0,366.441351888668
11,K23,6617.64705882353,1728000.0,261.12
11,K17,59820.512299332855,6048000.0,101.10244408701679
11,K25,3203.508777894737,1728000.0,539.4085422595898
11,K24,51831.36253749149,6048000.0,116.68610863982717
11,K26,48203.16715986709,6048000.0,125.46893402131954
11,K27,38306.24409599138,6048000.0,157.88548688940514
11,K28,27613.70220325577,6048000.0,219.02170000540227
11,K29,5303.6053130929795,6048000.0,1140.356350626118
11,K30,0.0,6048000.0,
11,K31,0.0,1728000.0,
11,K32,7486.764705882353,1728000.0,230.8073070123748
11,K33,7244.979924096386,1728000.0,238.5099776816181
11,K34,20929.41178,1728000.0,82.56323771369746
11,K35,4932.35294117647,1728000.0,350.33989266547405
12,K1,555806.604078837,6048000.0,10.881482795663466
12,K3,28882.058823529413,2592000.0,89.74429474841902
12,K2,499134.2150513657,6048000.0,12.116981400238416
12,K5,30064.99999647059,27058.499997,0.9000000000058697
12,K6,11586.764705882353,29366.500423,2.534486646483056
12,K4,432525.73959644453,6048000.0,13.98298285240298
12,K8,16761.274508235296,46140.063039,2.7527777208308395
12,K7,394138.178108387,6048000.0,15.344872270498026
12,K11,41897.058817647056,87551.520426,2.0896817795029388
12,K9,332534.2103853206,6048000.0,18.187602391320706
12,K12,20341.764705882353,42906.161145,2.1092644500303637
12,K10,292240.393056319,6048000.0,20.69529108125194
12,K14,3617.6470564705883,1728000.0,477.6585368960381
12,K13,274010.72634703247,6048000.0,22.072128637549227
12,K16,31674.375,1728000.0,54.55514118273841
12,K15,214935.27871232922,6048000.0,28.138703130697696
12,K18,0.0,1728000.0,
12,K19,9691.6666575,1728000.0,178.2975066174783
12,K20,6061.25,1728000.0,285.08970921839557
12,K21,16997.058823529413,1728000.0,101.66464786295207
12,K22,10087.5,1728000.0,171.3011152416357
12,K23,15977.64705882353,1728000.0,108.15109343936382
12,K17,145373.39223685983,6048000.0,41.60321161210761
12,K25,6407.017537894737,1728000.0,269.7042718830763
12,K24,127336.50332001629,6048000.0,47.496199772349975
12,K26,111509.7127934975,6048000.0,54.23742783016726
12,K27,89175.99185970498,6048000.0,67.82094455999929
12,K28,62378.867456186956,6048000.0,96.95591226063752
12,K29,12343.453510436433,6048000.0,489.9763259031514
12,K30,0.0,6048000.0,
12,K31,6913.235294117647,1728000.0,249.95532865347798
12,K32,16758.235294117647,1728000.0,103.11348239671452
12,K33,18771.28513614458,1728000.0,92.05549793033045
12,K34,46916.47057294118,1728000.0,36.831415042473694
12,K35,11479.411764705883,1728000.0,150.53036126056878
13,K1,651793.9023988054,6048000.0,9.279006719365537
13,K3,31267.058823529413,2592000.0,82.89874703691162
13,K2,587937.1484553358,6048000.0,10.286813847176818
13,K5,36596.47058470588,86932.180615,2.375425258940955
13,K6,15266.470588235294,29366.500423,1.9235946025160868
13,K4,506677.3498596278,6048000.0,11.936590419278788
13,K8,20372.15686117647,18334.941175,0.8999999999971126
13,K7,460971.3255054699,6048000.0,13.120121936799807
13,K11,42632.35293529412,87551.520426,2.053640355222303
13,K9,395290.4062949023,6048000.0,15.300143650559413
13,K12,22868.823529411766,42906.161145,1.8761857639864188
13,K10,348704.15838779643,6048000.0,17.344215302629042
13,K14,6458.823527058824,1728000.0,267.5409837040222
13,K13,324810.1269413478,6048000.0,18.6201090986677
13,K16,35952.5,1728000.0,48.06341700855295
13,K15,256376.61424721297,6048000.0,23.59029515136733
13,K18,0.0,1728000.0,
13,K19,9691.6666575,1728000.0,178.2975066174783
13,K20,9059.375,1728000.0,190.74163504656778
13,K21,20879.41176470588,1728000.0,82.76095224679533
13,K22,11278.75,1728000.0,153.2084672503602
13,K23,18960.0,1728000.0,91.13924050632912
13,K17,173688.58011264645,6048000.0,34.82094214874429
13,K25,6407.017537894737,1728000.0,269.7042718830763
13,K24,153386.47616574,6048000.0,39.429812530962
13,K26,128822.95224590291,6048000.0,46.94815554650007
13,K27,102994.15757478423,6048000.0,58.72177745236216
13,K28,70672.07295570425,6048000.0,85.57835856591836
13,K29,14818.469323213156,6048000.0,408.13932047123103
13,K30,0.0,6048000.0,
13,K31,13826.470588235294,1728000.0,124.97766432673899
13,K32,19387.647058823528,1728000.0,89.12891774629085
13,K33,23052.610437349398,1728000.0,74.95897285455914
13,K34,52319.99998470588,1728000.0,33.027522945434384
13,K35,13781.176470588236,1728000.0,125.38842410790507
14,K1,678457.8112252654,6048000.0,8.914334686599855
14,K3,31596.397063529414,2592000.0,82.0346698007493
14,K2,612938.5236004727,6048000.0,9.86722120918969
14,K5,37431.25377882353,86932.180615,2.3224490723359437
14,K6,15646.004907058823,29366.500423,1.8769328398811291
14,K4,529214.3387345667,6048000.0,11.42826177851058
14,K8,20821.167047058825,46140.063039,2.216017139419555
14,K7,481932.45475077955,6048000.0,12.549476467874706
14,K11,43269.57013647059,87551.520426,2.023397046697386
14,K9,414566.26187677,6048000.0,14.588741429706044
14,K12,23602.096535294117,21241.886882,0.9000000000099692
14,K10,366090.1896288697,6048000.0,16.520519181711112
14,K14,6894.532430588235,1728000.0,250.63338484471652
14,K13,340891.147716838,6048000.0,17.741733807132434
14,K16,36699.6193925,1728000.0,47.08495697241855
14,K15,270102.41355265415,6048000.0,22.391506689817096
14,K18,3798.0769175,1728000.0,454.9670892756479
14,K19,10437.1794875,1728000.0,165.5619702688379
14,K20,9321.56250125,1728000.0,185.3766468623988
14,K21,21728.092010588236,1728000.0,79.52838192870017
14,K22,11442.8125,1728000.0,151.01182510855614
14,K23,19387.254905882353,1728000.0,89.13072058879783
14,K17,180482.31455230087,6048000.0,33.5102085487018
14,K25,6899.865047368421,1728000.0,250.4396807962283
14,K24,159143.86434074838,6048000.0,38.003350145189515
14,K26,132449.0144251313,6048000.0,45.66285393855247
14,K27,106220.19115093355,6048000.0,56.93832720942948
14,K28,72782.04523771098,6048000.0,83.0974175051942
14,K29,15077.271772296015,6048000.0,401.1335798239704
14,K30,0.0,6048000.0,
14,K31,15554.779411764706,1728000.0,111.09125717932355
14,K32,19606.372552941175,1728000.0,88.13461007812894
14,K33,23878.328709638554,1728000.0,72.36687378805067
14,K34,54065.67120352941,1728000.0,31.96113100112953
14,K35,14021.862748235295,1728000.0,123.23612283378509
15,K1,712841.1594891507,6652800.0,9.332794426135061
15,K3,34186.46010117647,2851200.0,83.40143997248433
15,K2,643012.6414135167,6652800.0,10.346297368859398
15,K5,48675.44740117647,43807.902661,0.8999999999987915
15,K6,16612.32844117647,32303.150466,1.9445287625021408
15,K4,545574.233500488,6652800.0,12.194124266673327
15,K8,24103.39664117647,50754.069343,2.1056812074483924
15,K7,494192.1251842871,6652800.0,13.461970883326263
15,K11,29345.281187058823,96306.672469,3.28184527710271
15,K9,440137.2377380139,6652800.0,15.115285482752073
15,K12,16943.68994352941,47196.777259,2.785507608808899
15,K10,396785.31353020365,6652800.0,16.766749607766375
15,K14,12643.433523529411,1900800.0,150.33890884644697
15,K13,364302.6143301641,6652800.0,18.261741031511317
15,K16,39668.7368525,1900800.0,47.91682697303249
15,K15,288203.61604464764,6652800.0,23.083679834778227
15,K18,4177.884625,1900800.0,454.96708756049003
15,K19,17122.390105,1900800.0,111.01253904061778
15,K20,15107.67857625,1900800.0,125.81681496640718
15,K21,20283.835390588236,1900800.0,93.71008802812398
15,K22,9817.8124975,1900800.0,193.60728273065087
