rule,blocks_gaining,blocks_losing,largest_relative_gain,largest_relative_loss,lowest_ratio_any_block,guarantee_lambda_star
uniform,0,0,0.0,0.0,0.8499999999996504,0.8499999999996504
synthetic_rank_1_to_20,2,10,0.008125004234398582,-0.0036862297817299035,0.8499999999996484,0.8499999999996504
synthetic_two_classes,3,8,0.004955474171579178,-0.0036862297817299035,0.8499999999996484,0.8499999999996504
demand_normalized,5,5,0.0027551010367607674,-0.001923341353415975,0.8499999999996466,0.8499999999996504
synthetic_single_block_priority,1,12,0.010438634263781109,-0.0036862297817299035,0.8499999999996504,0.8499999999996504
