rule,description,weights_are_observed_data,lambda_star,minimum_ratio_stage3,stage2_weighted_satisfaction,omega_stage3
uniform,w_f = 1 for every block (rule (i) of Section 2.6),not applicable,0.8499999999996504,0.8499999999996504,0.9020152785693696,5.417942221248455
synthetic_rank_1_to_20,SYNTHETIC w_f = 1..20 in block order; illustrates a pro-rata entitlement rule (ii); not licensed-area data,no (synthetic),0.8499999999996504,0.8499999999996484,0.9049317073365387,4.507679744112717
synthetic_two_classes,SYNTHETIC w_f = 1 (first ten blocks) or 3 (last ten); illustrates an administrative priority rule (iv); not an observed priority list,no (synthetic),0.8499999999996504,0.8499999999996484,0.9036097614524694,4.770701892730803
demand_normalized,"w_f = 1 / D_f, D_f the seasonal demand (rule (v) of Section 2.6); computed from the published demands",derived from the published demands,0.8499999999996504,0.8499999999996466,0.9029454243031589,5.425915102597673
synthetic_single_block_priority,"SYNTHETIC w = 100 for the block least served under uniform weights, 1 for all others; a deliberately one-sided weighting used to show what a contested choice can and cannot do",no (synthetic),0.8499999999996504,0.8499999999996504,0.8963109569898047,4.509109571032459
