benchmark,block,seasonal_demand,own_minimum_limit,joint_factor_s,max_jump_with_all_own_limits_scaled,all_own_limits_jointly_attainable,demand_scaled_rule_t,demand_scaled_limit,max_jump_under_demand_scaled_rule,omega_ratio_joint,omega_ratio_demand_scaled
gone_abat_jap,F1,533245.000012,0.14999999999398173,1.000000000024265,0.14999999999762148,True,0.3200203724486963,0.1968991739259907,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F2,699970.000031,0.14999999999703506,1.000000000024265,0.15000000000067482,True,0.3200203724486963,0.149999999996968,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F3,228302.000014,0.14999999998913083,1.000000000024265,0.1499999999927707,True,0.3200203724486963,0.4598974165626632,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F4,356226.00001099997,0.1500000000027526,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.2947440669667164,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F5,465268.000014,0.14999999999195635,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.22566671251701895,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F6,236855.000012,0.15000000000084412,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.44329019863295355,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F7,171960.00001,0.14999999999489444,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.6105809490371127,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F8,574179.000006,0.15000000000037883,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.18286196465114626,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F9,55300.000002,0.15000000000079305,1.000000000024265,0.15000000000034963,True,0.3200203724486963,1.8986528028703507,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F10,212386.000023,0.15000000000046587,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.494361681048456,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F11,213639.00000200002,0.1500000000004359,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.49146223302648284,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F12,294169.000013,0.1500000000005116,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.3569223813450354,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F13,152436.000001,0.15000000000057445,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.6887841454895097,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F14,347668.00001099997,0.15000000000044733,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.3019993211891969,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F15,252386.000018,0.1500000000004552,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.41601158540901434,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F16,371379.0,0.1500000000004067,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.2827179242836232,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F17,343194.00001,0.15000000000041358,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.30593629259097865,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F18,246373.000035,0.15000000000043467,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.4261647988521954,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F19,664248.000067,0.15000000000036406,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.158066716033676,0.15000000000034963,5.456365728630993,5.456365728635425
gone_abat_jap,F20,142618.000009,0.15000000000066338,1.000000000024265,0.15000000000034963,True,0.3200203724486963,0.7362009002783791,0.15000000000034963,5.456365728630993,5.456365728635425
temporal_lexicographic,f1,18.0,0.07500000000000007,1.4814814814814807,0.11111111111111116,False,0.17142857142857143,0.14285714285714288,0.1428571428571429,0.5555555555555552,0.6785714285714286
temporal_lexicographic,f2,12.0,0.15000000000000002,1.4814814814814807,0.2222222222222221,False,0.17142857142857143,0.2142857142857143,0.2142857142857143,0.5555555555555552,0.6785714285714286
