family,family_label,capacity_rule,instance,G1_closed_vs_lp,G3_operator_balance,G4_node_residual,G5_physical_abs,G5_physical_rel,G6_floor,G7_satisfaction,G8_variation_excess,lambda_star,bottleneck_class,bottleneck_count,bottleneck_slack_lp,bottleneck_slack_stage3,bottleneck_tight,lp_relax_others,lp_relax_named,bottleneck_sufficient,bottleneck_necessary,bottleneck_identified,omega_stage2,omega_stage3,stage2_face_width,stage2_multiplicity_not_detected,stage3_active,stage3_outcome,stage3_relative_reduction,ratios_moved_by_stage3,users,edges,periods,active_records,gate_violations
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_44,5.551115123125783e-17,0.0,0.0,0.0,0.0,7.771561172376096e-16,2.220446049250313e-16,7.815970093361102e-14,0.42064036931804843,source,1,1.599167243862245e-16,0.0,True,0.4206403693180485,0.4210610096873665,True,True,True,5.315257920219731,5.31525792021981,0.0,True,False,inactive: multiplicity not detected,-1.4704780484176375e-14,0,7,13,3,21,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_45,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.6312788530597779,edge,1,0.0,0.0,True,0.6312788530597779,0.6319101319128377,True,True,True,1.3198183113168749,0.9415760105509277,0.2523839805596473,False,True,active,0.2865866441787343,2,7,13,3,18,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_46,0.0,0.0,0.0,2.842170943040401e-14,2.4545357696490275e-16,0.0,0.0,0.0,0.35476414705726456,source,1,1.2272678848245138e-16,2.4545357696490275e-16,True,0.35476414705726456,0.3551189112043218,True,True,True,5.701387176527857,5.673948358999509,0.722459745039143,False,True,active,0.00481265640777942,2,14,22,3,37,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_47,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,1.7944287775023027e-16,0.0,0.0,0.0,0.465959099262171,edge,1,0.0,1.7944287775023027e-16,True,0.46595909926217105,0.4664250583614332,True,True,True,2.944099502256582,2.944099502256581,0.06680594422456143,False,False,inactive: multiplicity detected; no reduction above the activity threshold,4.525212644915828e-16,2,6,10,3,18,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_48,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.6959358806206901,edge,1,0.0,0.0,True,0.6959358806206901,0.6966318165013108,True,True,True,1.8243847162758593,1.432555599771324,0.21687630138935132,False,True,active,0.21477329480394974,3,6,9,3,17,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_49,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.1958437552457326e-14,0.37751071580871154,edge,1,0.0,0.0,True,0.3775107158087115,0.3778882265245202,True,True,True,2.2883440614656663,2.2883440614657182,0.0,True,False,inactive: multiplicity not detected,-2.2705692918912884e-14,0,6,10,3,17,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_50,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0.0,6.661338147750939e-16,0.3972251535239358,source,1,0.0,0.0,True,0.3972251535239358,0.39762237867745975,True,True,True,1.8083245394281928,1.8083245394281935,0.0,True,False,inactive: multiplicity not detected,-3.683707212123168e-16,0,5,11,3,12,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_51,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-16,0.0,0.0,0.19046791858603698,source,1,0.0,0.0,True,0.19046791858603698,0.190658386504623,True,True,True,9.180562498213478,8.449372231130274,0.7300508213574135,False,True,active,0.07964547566943657,2,12,22,3,34,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_52,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.6675567264075593,source,1,1.2730212928113924e-16,0.0,True,0.6675567264075594,0.6682242831339669,True,True,True,2.213509831581744,2.213509831581672,5.861977570020827e-14,True,False,inactive: multiplicity not detected,3.250152810222715e-14,0,6,11,3,16,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_53,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.3893879272186912,edge,1,0.0,0.0,True,0.3893879272186912,0.3897773151459099,True,True,True,2.2149615129353113,2.0733366282650354,1.7514448285358675,False,True,active,0.06394011085212571,5,8,13,3,23,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,demand (lambda* = 1),0,0.0,0.0,True,1.0,1.0,True,True,True,0.0,0.0,0.0,True,False,inactive: multiplicity not detected,0.0,0,3,5,3,8,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_55,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.27894337138743186,edge,1,0.0,1.1846892031061122e-16,True,0.2789433713874319,0.27922231475881937,True,True,True,6.0512521292712815,5.507948943765148,0.2236630693235635,False,True,active,0.08978359749349278,2,16,26,3,41,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_56,0.0,0.0,0.0,1.4210854715202004e-14,1.1727226454989797e-16,5.3512749786932545e-14,1.1102230246251565e-16,0.0,0.21507632691777573,edge,1,0.0,0.0,True,0.21507632691777573,0.2152914032446935,True,True,True,5.415377590293894,4.838693921006847,1.0989160260335329,False,True,active,0.10649002025651001,5,11,19,3,28,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_57,1.1102230246251565e-16,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.1102230246251565e-16,0.0,0.5333619584088336,source,1,1.1609954190439898e-16,0.0,True,0.5333619584088335,0.5338953203672424,True,True,True,2.9205401102033495,2.9205401102033495,5.773159728050814e-15,True,False,inactive: multiplicity not detected,0.0,0,8,16,3,21,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_58,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119221520762745,edge,1,0.0,0.0,True,0.7119221520762746,0.7126340742283509,True,True,True,0.2880778479237255,0.2880778479237255,5.551115123125783e-15,True,False,inactive: multiplicity not detected,0.0,0,3,8,3,8,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_59,2.7755575615628914e-17,0.0,0.0,1.4210854715202004e-14,1.860569581801266e-16,0.0,0.0,8.881784197001252e-16,0.23285770406641346,source,1,0.0,1.860569581801266e-16,True,0.23285770406641343,0.23309056177047985,True,True,True,4.600907994059816,4.600907994059817,0.9826196406768511,False,False,inactive: multiplicity detected; no reduction above the activity threshold,-1.9304416016291634e-16,0,9,17,3,23,0
