family,family_label,capacity_rule,instances,max_G1_closed_vs_lp,max_G3_operator_balance,max_G4_node_residual,max_G5_physical_abs,max_G5_physical_rel,max_G6_floor,max_G7_satisfaction,max_G8_variation_excess,gate_violations,source_bound,edge_bound,source_and_edge_tied,unconstrained,multiple_minimizers,bottleneck_tight,bottleneck_sufficient,bottleneck_necessary,bottleneck_identified,with_bottleneck,stage2_multiplicity_not_detected,stage3_active,stage3_inactive_multiplicity_detected,stage3_active_share,median_relative_reduction_when_active,median_ratios_moved_when_active
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,60,2.220446049250313e-16,0.0,0.0,2.5366375666635577e-12,4.8761807599847575e-14,5.3512749786932545e-14,4.440892098500626e-16,1.7763568394002505e-13,0,22,33,0,5,0,55,55,55,55,55,26,21,13,0.35,0.07267652584584952,2
all,All families,mixed,60,2.220446049250313e-16,0.0,0.0,2.5366375666635577e-12,4.8761807599847575e-14,5.3512749786932545e-14,4.440892098500626e-16,1.7763568394002505e-13,0,22,33,0,5,0,55,55,55,55,55,26,21,13,0.35,0.07267652584584952,2
