F,edges,active_records,lp_rows,lambda_cf,lambda_lp,abs_difference,build_median_ms,build_q1_ms,build_q3_ms,build_min_ms,loads_median_ms,loads_q1_ms,loads_q3_ms,loads_min_ms,cf_scan_median_ms,cf_scan_q1_ms,cf_scan_q3_ms,cf_scan_min_ms,cf_total_median_ms,cf_total_q1_ms,cf_total_q3_ms,cf_total_min_ms,lp_build_median_ms,lp_build_q1_ms,lp_build_q3_ms,lp_build_min_ms,lp_solve_median_ms,lp_solve_q1_ms,lp_solve_q3_ms,lp_solve_min_ms,lp_total_median_ms,lp_total_q1_ms,lp_total_q3_ms,lp_total_min_ms,speedup_median_total,cf_peak_mib,lp_peak_mib
20,62,80,332,0.6,0.6,0.0,0.03964995266869664,0.038850033888593316,0.04094996256753802,0.037800054997205734,0.28665002901107073,0.28474998543970287,0.2886749862227589,0.2812999300658703,0.04014995647594333,0.03965003998018801,0.04087504930794239,0.03929995000362396,0.32650004141032696,0.32492500031366944,0.3295750357210636,0.32119988463819027,0.5275500006973743,0.5250250396784395,0.5407500430010259,0.5193999968469143,3.334100008942187,3.051250008866191,3.4051249967887998,3.015300026163459,4.157050047069788,3.879250114550814,4.218150017550215,3.8222000002861023,12.73215779426331,0.018552780151367188,0.0903921127319336
50,126,200,708,0.6,0.6,0.0,0.09240000508725643,0.08957498357631266,0.0941250182222575,0.08469994645565748,0.7975000189617276,0.7927499827928841,0.8026499708648771,0.784000032581389,0.04364998312667012,0.042925006709992886,0.0450500228907913,0.042100087739527225,0.8413000032305717,0.8363749657291919,0.8498000388499349,0.8262000046670437,1.269750006031245,1.2556000147014856,1.366974989650771,1.2122999178245664,5.4066499578766525,5.33454999094829,5.520374950719997,5.0561000825837255,7.478200015611947,7.408525008941069,7.70105016999878,7.064800010994077,8.888862459165384,0.04827690124511719,0.22050094604492188
100,254,400,1420,0.6,0.6000000000000003,3.3306690738754696e-16,0.17265003407374024,0.1714249956421554,0.17514993669465184,0.16549997963011265,1.8099000444635749,1.7976999515667558,1.8209749250672758,1.7843999667093158,0.048099958803504705,0.04715000977739692,0.04980002995580435,0.04630000330507755,1.8576999427750707,1.8465500033926219,1.8709749565459788,1.8313999753445387,2.487849968019873,2.4582999758422375,2.5379749422427267,2.4347000289708376,9.658649971242994,9.429725032532588,9.774999954970554,9.146800031885505,14.019599941093475,13.751549937296659,14.08785002422519,13.426200021058321,7.5467515599697474,0.1578044891357422,0.5927238464355469
250,510,1000,3044,0.6,0.6000000000000001,1.1102230246251565e-16,0.41465001413598657,0.405074970331043,0.42520000715740025,0.39930001366883516,5.423249967861921,5.3626749431714416,5.515575088793412,5.277700023725629,0.06185000529512763,0.057649973314255476,0.0699750380590558,0.054999953135848045,5.488049995619804,5.427149910246953,5.595825059572235,5.335800000466406,6.756050046533346,6.585300026927143,6.97154994122684,6.4249999122694135,26.26545005477965,25.891575001878664,26.56402499997057,25.16800002194941,38.411600049585104,38.1085999251809,39.200125087518245,37.15920005925,6.999134497725547,0.6552486419677734,1.9788017272949219
500,1022,2000,6092,0.6,0.6,0.0,0.8843999821692705,0.8755999151617289,0.890900002559647,0.8640999440103769,11.914000031538308,11.759324959712103,12.072774959960952,11.59670006018132,0.08110003545880318,0.07787501090206206,0.08512497879564762,0.07369997911155224,11.999050038866699,11.840650055091828,12.15649998630397,11.674900073558092,14.76699998602271,14.559724950231612,15.145374956773594,14.149499940685928,66.71709998045117,66.03787501808256,67.1938500017859,64.80349996127188,93.47530006198213,92.80174996820278,93.89275003923103,91.94149996619672,7.79022503941577,1.643819808959961,4.591732025146484
