scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
demand,0.827205882358336,edge:12:K5,edge:12:K5,edge,1,0.007407407826211382,0.9168293099618153,6.86889693496437,1e-09,20.0
demand,0.8364312267648346,edge:16:K5,edge:16:K5,edge,1,0.0068518948397389935,0.9072817032386099,6.457274333127854,1e-09,21.0
demand,0.8280995931840415,source:18,source:18,source,1,0.006320181996947837,0.9053741563561186,7.114667335009538,1e-09,22.0
demand,0.8241758241849535,edge:14:K12,edge:14:K12,edge,1,0.012048193187207644,0.9100880820470063,7.594617423708492,1e-09,23.0
demand,0.8272058823518305,edge:15:K5,edge:15:K5;edge:16:K5,edge,2,0.0009199631922819018,0.9022501010588456,7.517504414541385,1e-09,24.0
demand,0.8240894279065197,source:19,source:19,source,1,0.00010483847445198733,0.8995473246263458,8.542422466183044,1e-09,25.0
demand,0.8254028886373689,source:19,source:19,source,1,0.000392802253136366,0.900469717461914,7.415121121687206,1e-09,26.0
demand,0.8231286433296774,source:24,source:24,source,1,0.000651724249808914,0.9055821122583987,10.021739968903217,1e-09,27.0
demand,0.8195848549625613,source:19,source:19,source,1,0.018025475343227387,0.9048602052496043,8.599771713344106,1e-09,28.0
demand,0.8287292821178838,edge:26:K6,edge:26:K6,edge,1,0.0058645298999452184,0.9037661340909284,8.01732639193233,1e-09,29.0
demand,0.8135001791219303,source:20,source:20,source,1,0.0075869096653133,0.9021778181663922,10.570883557246558,1e-09,30.0
demand,0.8325624421804927,edge:13:K8,edge:13:K8,edge,1,0.0009259259277931673,0.9107921203839231,6.524254572628485,1e-09,31.0
demand,0.8226691045521223,edge:25:K6,edge:25:K6,edge,1,0.013615582847263618,0.9067130930678582,7.343780534867468,1e-09,32.0
demand,0.8256880733933867,edge:15:K5,edge:15:K5,edge,1,0.01679104520682102,0.9079959891608566,6.567830141842184,1e-09,33.0
demand,0.8189262966322034,edge:15:K5,edge:15:K5,edge,1,0.0018231544808791553,0.9046838621933347,8.45568419731405,1e-09,34.0
