scenario,draws,lambda_star_p05,lambda_star_median,lambda_star_p95,lambda_star_changed,bottleneck_class_same,argmin_same_as_baseline,argmin_within_baseline_near_set,near_tie_draws_margin_below_1pct,stage2_satisfaction_p05,stage2_satisfaction_median,stage2_satisfaction_p95,stage2_satisfaction_changed,stage3_variation_p05,stage3_variation_median,stage3_variation_p95,draws_solved_at_1e-9,largest_tolerance_used,stage3_variation_changed
demand,200,0.8181818181808745,0.826417859992636,0.8396274284623881,200,78,15,78,142,0.9012322045415972,0.9087729683652167,0.9152583023913268,200,6.358023394008917,7.725615294361528,9.531768952422222,196,1e-07,200
efficiency,200,0.8091846684629417,0.8490809692383454,0.8809941176465952,200,186,16,186,195,0.8775257549162969,0.90307755643112,0.9290384171715322,200,4.669548954199171,5.53950450395838,6.2790911560368325,183,1e-07,200
capacity,200,0.765850000000132,0.7794500000000177,0.8136775000085686,200,190,25,189,69,0.8892275949862765,0.9088659137705162,0.931497601097162,200,10.384926252158948,14.212951646151694,18.369653352780173,199,1e-07,200
combined,200,0.7287243731748759,0.7709576965893055,0.815675868638982,200,121,20,116,66,0.8755277750040269,0.9094416749541382,0.9423891568897915,200,9.893099764327108,14.88264883237024,20.28647986350296,196,1e-08,200
correlated,200,0.6390075509486262,0.6746583717695921,0.7657818134310904,200,197,27,170,31,0.8467717733722848,0.8961959143552818,0.9362811820820568,200,20.065680230974355,30.058155594756293,41.41389094798699,191,1e-07,200
