benchmark,nodes,edges,periods,resources_m,critical_resources,critical_share,lambda_star,lambda_star_exact,exact_bottleneck_set,near_tied_bottleneck_set_1e_9,budget_curve_segments,full_service_cost
branching_shared_edge_bottleneck,6,5,1,6,5,0.8333333333333334,0.7806122448979592,153/196,1,1,5,40.59912854030501
chain_source_bottleneck,3,2,1,3,1,0.3333333333333333,0.72,18/25,1,1,1,38.888888888888886
gone_abat_jap,36,35,16,548,18,0.032846715328467155,0.8499999999996504,489061655669511240854544523485423/575366653729073409930683320905560,1,7,17,1176720.9915744318
star_edge_bottleneck,3,2,1,3,2,0.6666666666666666,0.7,7/10,1,1,2,36.666666666666664
temporal_lexicographic,3,2,3,9,3,0.3333333333333333,0.6,3/5,1,1,2,8.0
tie_bottleneck,3,2,1,3,2,0.6666666666666666,0.75,3/4,2,2,1,35.0
