period,user,stage2_ratio,stage3_ratio
k1,f1,0.85,0.8
k2,f1,0.6,0.8000000000000007
k3,f1,0.6,0.6
k1,f2,0.6,0.7999999999999998
k2,f2,0.85,0.7999999999999998
k3,f2,0.6,0.6000000000000001
